,facility_name,total_providers,avg_years_experience,total_service_charge,total_insurance_paid
877,Cardiology Specialty Center,,,,
878,Cardiology Specialty Center,,,,
879,Surgical Specialty Center,,,,
880,Oncology Treatment Center,,,,
881,City General Hospital,,,,
882,Primary Care Clinic,,,,
883,Surgical Specialty Center,,,,
884,Northside Urgent Care,,,,
885,Primary Care Clinic,,,,
886,City General Hospital,,,,
887,Regional Medical Center,,,,
888,Regional Medical Center,,,,
889,Oncology Treatment Center,,,,
890,Cardiology Specialty Center,,,,
891,Cardiology Specialty Center,,,,
892,Primary Care Clinic,,,,
893,Regional Medical Center,,,,
894,Northside Urgent Care,,,,
895,Surgical Specialty Center,,,,
896,Northside Urgent Care,,,,
897,Northside Urgent Care,,,,
898,Surgical Specialty Center,,,,
899,Regional Medical Center,,,,
900,Oncology Treatment Center,,,,
901,Surgical Specialty Center,,,,
902,Primary Care Clinic,,,,
903,Oncology Treatment Center,,,,
904,Regional Medical Center,,,,
905,Emergency Medical Center,,,,
906,Surgical Specialty Center,,,,
907,Community Health Clinic,,,,
908,Community Health Clinic,,,,
909,Community Health Clinic,,,,
910,Primary Care Clinic,,,,
911,Oncology Treatment Center,,,,
912,Pediatric Care Center,,,,
913,Emergency Medical Center,,,,
914,Emergency Medical Center,,,,
915,City General Hospital,,,,
916,Community Health Clinic,,,,
917,Emergency Medical Center,,,,
918,Pediatric Care Center,,,,
919,Regional Medical Center,,,,
920,Oncology Treatment Center,,,,
921,Pediatric Care Center,,,,
922,Northside Urgent Care,,,,
923,Primary Care Clinic,,,,
924,Emergency Medical Center,,,,
925,Surgical Specialty Center,,,,
926,Community Health Clinic,,,,
927,Surgical Specialty Center,,,,
928,Surgical Specialty Center,,,,
929,Community Health Clinic,,,,
930,City General Hospital,,,,
931,Community Health Clinic,,,,
932,Emergency Medical Center,,,,
933,City General Hospital,,,,
934,City General Hospital,,,,
935,Community Health Clinic,,,,
936,Primary Care Clinic,,,,
937,Surgical Specialty Center,,,,
938,Oncology Treatment Center,,,,
939,Surgical Specialty Center,,,,
940,Pediatric Care Center,,,,
941,Oncology Treatment Center,,,,
942,Regional Medical Center,,,,
943,Pediatric Care Center,,,,
944,Community Health Clinic,,,,
945,Primary Care Clinic,,,,
946,Oncology Treatment Center,,,,
947,Pediatric Care Center,,,,
948,Pediatric Care Center,,,,
949,Northside Urgent Care,,,,
950,Emergency Medical Center,,,,
951,Northside Urgent Care,,,,
952,Pediatric Care Center,,,,
953,Emergency Medical Center,,,,
954,Cardiology Specialty Center,,,,
955,City General Hospital,,,,
956,Cardiology Specialty Center,,,,
957,Cardiology Specialty Center,,,,
958,Pediatric Care Center,,,,
959,Community Health Clinic,,,,
960,Pediatric Care Center,,,,
961,Community Health Clinic,,,,
962,Surgical Specialty Center,,,,
963,Surgical Specialty Center,,,,
964,Emergency Medical Center,,,,
965,Emergency Medical Center,,,,
966,Community Health Clinic,,,,
967,Primary Care Clinic,,,,
968,City General Hospital,,,,
969,Cardiology Specialty Center,,,,
970,Emergency Medical Center,,,,
971,Community Health Clinic,,,,
972,Northside Urgent Care,,,,
973,Regional Medical Center,,,,
974,Regional Medical Center,,,,
975,Surgical Specialty Center,,,,
976,Surgical Specialty Center,,,,
977,Oncology Treatment Center,,,,
978,Regional Medical Center,,,,
979,Community Health Clinic,,,,
980,Cardiology Specialty Center,,,,
981,Surgical Specialty Center,,,,
982,Regional Medical Center,,,,
983,Surgical Specialty Center,,,,
984,Emergency Medical Center,,,,
985,Primary Care Clinic,,,,
986,Community Health Clinic,,,,
987,Regional Medical Center,,,,
988,Cardiology Specialty Center,,,,
989,Cardiology Specialty Center,,,,
990,Emergency Medical Center,,,,
991,City General Hospital,,,,
992,Primary Care Clinic,,,,
993,Primary Care Clinic,,,,
994,Oncology Treatment Center,,,,
995,Primary Care Clinic,,,,
996,Oncology Treatment Center,,,,
997,Surgical Specialty Center,,,,
998,Regional Medical Center,,,,
999,City General Hospital,,,,
1000,Cardiology Specialty Center,,,,
1001,Oncology Treatment Center,,,,
1002,City General Hospital,,,,
1003,Primary Care Clinic,,,,
1004,Community Health Clinic,,,,
1005,City General Hospital,,,,
1006,Cardiology Specialty Center,,,,
1007,Oncology Treatment Center,,,,
1008,Northside Urgent Care,,,,
1009,Emergency Medical Center,,,,
1010,Cardiology Specialty Center,,,,
1011,Northside Urgent Care,,,,
1012,Pediatric Care Center,,,,
1013,Cardiology Specialty Center,,,,
1014,Surgical Specialty Center,,,,
1015,Cardiology Specialty Center,,,,
1016,Cardiology Specialty Center,,,,
1017,Oncology Treatment Center,,,,
1018,Community Health Clinic,,,,
1019,Oncology Treatment Center,,,,
1020,Community Health Clinic,,,,
1021,City General Hospital,,,,
1022,Pediatric Care Center,,,,
1023,City General Hospital,,,,
1024,Northside Urgent Care,,,,
1025,Cardiology Specialty Center,,,,
1026,Community Health Clinic,,,,
1027,Community Health Clinic,,,,
1028,Cardiology Specialty Center,,,,
1029,Emergency Medical Center,,,,
1030,Surgical Specialty Center,,,,
1031,Oncology Treatment Center,,,,
1032,Surgical Specialty Center,,,,
1033,Cardiology Specialty Center,,,,
1034,Primary Care Clinic,,,,
1035,Regional Medical Center,,,,
1036,Regional Medical Center,,,,
1037,Surgical Specialty Center,,,,
1038,Cardiology Specialty Center,,,,
1039,Cardiology Specialty Center,,,,
1040,Primary Care Clinic,,,,
1041,Oncology Treatment Center,,,,
1042,Pediatric Care Center,,,,
1043,Regional Medical Center,,,,
1044,Regional Medical Center,,,,
1045,Regional Medical Center,,,,
1046,Oncology Treatment Center,,,,
1047,City General Hospital,,,,
1048,Pediatric Care Center,,,,
1049,Primary Care Clinic,,,,
1050,Regional Medical Center,,,,
1051,Northside Urgent Care,,,,
1052,Community Health Clinic,,,,
1053,City General Hospital,,,,
1054,Primary Care Clinic,,,,
1055,Community Health Clinic,,,,
1056,Pediatric Care Center,,,,
1057,Community Health Clinic,,,,
1058,Community Health Clinic,,,,
1059,Regional Medical Center,,,,
1060,Surgical Specialty Center,,,,
1061,Community Health Clinic,,,,
1062,Surgical Specialty Center,,,,
1063,Surgical Specialty Center,,,,
1064,Northside Urgent Care,,,,
1065,Surgical Specialty Center,,,,
1066,Primary Care Clinic,,,,
1067,Pediatric Care Center,,,,
1068,Pediatric Care Center,,,,
1069,Community Health Clinic,,,,
1070,Surgical Specialty Center,,,,
1071,Emergency Medical Center,,,,
1072,Community Health Clinic,,,,
1073,Primary Care Clinic,,,,
1074,Primary Care Clinic,,,,
1075,Oncology Treatment Center,,,,
1076,Primary Care Clinic,,,,
1077,City General Hospital,,,,
1078,Pediatric Care Center,,,,
1079,Cardiology Specialty Center,,,,
1080,Surgical Specialty Center,,,,
1081,Northside Urgent Care,,,,
1082,Cardiology Specialty Center,,,,
1083,Community Health Clinic,,,,
1084,Pediatric Care Center,,,,
1085,Pediatric Care Center,,,,
1086,Primary Care Clinic,,,,
1087,Regional Medical Center,,,,
1088,Oncology Treatment Center,,,,
1089,Emergency Medical Center,,,,
1090,Emergency Medical Center,,,,
1091,Community Health Clinic,,,,
1092,Emergency Medical Center,,,,
1093,Emergency Medical Center,,,,
1094,Cardiology Specialty Center,,,,
1095,Community Health Clinic,,,,
1096,Oncology Treatment Center,,,,
1097,Northside Urgent Care,,,,
1098,Community Health Clinic,,,,
1099,City General Hospital,,,,
1100,Surgical Specialty Center,,,,
1101,Pediatric Care Center,,,,
1102,Community Health Clinic,,,,
1103,Community Health Clinic,,,,
1104,Emergency Medical Center,,,,
1105,Northside Urgent Care,,,,
1106,Cardiology Specialty Center,,,,
1107,Cardiology Specialty Center,,,,
1108,Regional Medical Center,,,,
1109,Emergency Medical Center,,,,
1110,Primary Care Clinic,,,,
1111,Community Health Clinic,,,,
1112,Primary Care Clinic,,,,
1113,Northside Urgent Care,,,,
1114,Emergency Medical Center,,,,
1115,Emergency Medical Center,,,,
1116,Oncology Treatment Center,,,,
1117,Oncology Treatment Center,,,,
1118,Cardiology Specialty Center,,,,
1119,Pediatric Care Center,,,,
1120,Primary Care Clinic,,,,
1121,Primary Care Clinic,,,,
1122,City General Hospital,,,,
1123,Surgical Specialty Center,,,,
1124,Surgical Specialty Center,,,,
1125,Northside Urgent Care,,,,
1126,Oncology Treatment Center,,,,
1127,Oncology Treatment Center,,,,
1128,Community Health Clinic,,,,
1129,Cardiology Specialty Center,,,,
1130,City General Hospital,,,,
1131,Northside Urgent Care,,,,
1132,Primary Care Clinic,,,,
1133,Surgical Specialty Center,,,,
1134,Northside Urgent Care,,,,
1135,Emergency Medical Center,,,,
1136,City General Hospital,,,,
1137,Oncology Treatment Center,,,,
1138,Community Health Clinic,,,,
1139,Cardiology Specialty Center,,,,
1140,Northside Urgent Care,,,,
1141,Community Health Clinic,,,,
1142,Pediatric Care Center,,,,
1143,Pediatric Care Center,,,,
1144,Primary Care Clinic,,,,
1145,Primary Care Clinic,,,,
1146,Pediatric Care Center,,,,
1147,Pediatric Care Center,,,,
1148,Pediatric Care Center,,,,
1149,Cardiology Specialty Center,,,,
1150,City General Hospital,,,,
1151,Surgical Specialty Center,,,,
1152,Pediatric Care Center,,,,
1153,Community Health Clinic,,,,
1154,Community Health Clinic,,,,
1155,Primary Care Clinic,,,,
1156,Primary Care Clinic,,,,
1157,Oncology Treatment Center,,,,
1158,Community Health Clinic,,,,
1159,Community Health Clinic,,,,
1160,Cardiology Specialty Center,,,,
1161,Cardiology Specialty Center,,,,
1162,Pediatric Care Center,,,,
1163,Northside Urgent Care,,,,
1164,Oncology Treatment Center,,,,
1165,Emergency Medical Center,,,,
1166,City General Hospital,,,,
1167,Pediatric Care Center,,,,
1168,Oncology Treatment Center,,,,
1169,Primary Care Clinic,,,,
1170,Pediatric Care Center,,,,
1171,Emergency Medical Center,,,,
1172,Emergency Medical Center,,,,
1173,Community Health Clinic,,,,
1174,Primary Care Clinic,,,,
1175,Community Health Clinic,,,,
1176,Surgical Specialty Center,,,,
1177,Emergency Medical Center,,,,
1178,Primary Care Clinic,,,,
1179,Northside Urgent Care,,,,
1180,Oncology Treatment Center,,,,
1181,Emergency Medical Center,,,,
1182,Pediatric Care Center,,,,
1183,Northside Urgent Care,,,,
1184,City General Hospital,,,,
1185,Surgical Specialty Center,,,,
1186,Northside Urgent Care,,,,
1187,Primary Care Clinic,,,,
1188,Emergency Medical Center,,,,
1189,Emergency Medical Center,,,,
1190,Surgical Specialty Center,,,,
1191,Regional Medical Center,,,,
1192,City General Hospital,,,,
1193,Primary Care Clinic,,,,
1194,Northside Urgent Care,,,,
1195,Primary Care Clinic,,,,
1196,Primary Care Clinic,,,,
1197,Oncology Treatment Center,,,,
1198,Surgical Specialty Center,,,,
1199,Northside Urgent Care,,,,
1200,Regional Medical Center,,,,
1201,Northside Urgent Care,,,,
1202,Primary Care Clinic,,,,
1203,Primary Care Clinic,,,,
1204,City General Hospital,,,,
1205,Community Health Clinic,,,,
1206,Northside Urgent Care,,,,
1207,Primary Care Clinic,,,,
1208,Pediatric Care Center,,,,
1209,Northside Urgent Care,,,,
1210,Regional Medical Center,,,,
1211,Regional Medical Center,,,,
1212,Emergency Medical Center,,,,
1213,Pediatric Care Center,,,,
1214,Primary Care Clinic,,,,
1215,Community Health Clinic,,,,
1216,Pediatric Care Center,,,,
1217,Emergency Medical Center,,,,
1218,Surgical Specialty Center,,,,
1219,Community Health Clinic,,,,
1220,Northside Urgent Care,,,,
1221,Community Health Clinic,,,,
1222,Surgical Specialty Center,,,,
1223,Emergency Medical Center,,,,
1224,Surgical Specialty Center,,,,
1225,Emergency Medical Center,,,,
1226,Northside Urgent Care,,,,
1227,Oncology Treatment Center,,,,
1228,Surgical Specialty Center,,,,
1229,Oncology Treatment Center,,,,
1230,Pediatric Care Center,,,,
1231,Primary Care Clinic,,,,
1232,Oncology Treatment Center,,,,
1233,Surgical Specialty Center,,,,
1234,Oncology Treatment Center,,,,
1235,Northside Urgent Care,,,,
1236,Cardiology Specialty Center,,,,
1237,Northside Urgent Care,,,,
1238,Pediatric Care Center,,,,
1239,Cardiology Specialty Center,,,,
1240,Regional Medical Center,,,,
1241,Northside Urgent Care,,,,
1242,Regional Medical Center,,,,
1243,Primary Care Clinic,,,,
1244,Cardiology Specialty Center,,,,
1245,Oncology Treatment Center,,,,
1246,Northside Urgent Care,,,,
1247,City General Hospital,,,,
1248,Pediatric Care Center,,,,
1249,Community Health Clinic,,,,
1250,Oncology Treatment Center,,,,
1251,Surgical Specialty Center,,,,
1252,Regional Medical Center,,,,
1253,Surgical Specialty Center,,,,
1254,Northside Urgent Care,,,,
1255,City General Hospital,,,,
1256,Oncology Treatment Center,,,,
1257,Cardiology Specialty Center,,,,
1258,Emergency Medical Center,,,,
1259,City General Hospital,,,,
1260,Oncology Treatment Center,,,,
1261,Oncology Treatment Center,,,,
1262,City General Hospital,,,,
1263,Emergency Medical Center,,,,
1264,Northside Urgent Care,,,,
1265,Pediatric Care Center,,,,
1266,Northside Urgent Care,,,,
1267,Oncology Treatment Center,,,,
1268,Primary Care Clinic,,,,
1269,Community Health Clinic,,,,
1270,Cardiology Specialty Center,,,,
1271,City General Hospital,,,,
1272,Cardiology Specialty Center,,,,
1273,Oncology Treatment Center,,,,
1274,Community Health Clinic,,,,
1275,Regional Medical Center,,,,
1276,Regional Medical Center,,,,
1277,Oncology Treatment Center,,,,
1278,Community Health Clinic,,,,
1279,Regional Medical Center,,,,
1280,Oncology Treatment Center,,,,
1281,Community Health Clinic,,,,
1282,Pediatric Care Center,,,,
1283,Surgical Specialty Center,,,,
1284,Emergency Medical Center,,,,
1285,Cardiology Specialty Center,,,,
1286,Pediatric Care Center,,,,
1287,Primary Care Clinic,,,,
1288,Oncology Treatment Center,,,,
1289,Regional Medical Center,,,,
1290,Northside Urgent Care,,,,
1291,Primary Care Clinic,,,,
1292,Surgical Specialty Center,,,,
1293,Pediatric Care Center,,,,
1294,Regional Medical Center,,,,
1295,Primary Care Clinic,,,,
1296,Oncology Treatment Center,,,,
1297,Oncology Treatment Center,,,,
1298,Community Health Clinic,,,,
1299,Pediatric Care Center,,,,
1300,Emergency Medical Center,,,,
1301,Emergency Medical Center,,,,
1302,Emergency Medical Center,,,,
1303,Community Health Clinic,,,,
1304,Pediatric Care Center,,,,
1305,Emergency Medical Center,,,,
1306,Northside Urgent Care,,,,
1307,City General Hospital,,,,
1308,Northside Urgent Care,,,,
1309,Regional Medical Center,,,,
1310,Cardiology Specialty Center,,,,
1311,Surgical Specialty Center,,,,
1312,Northside Urgent Care,,,,
1313,Cardiology Specialty Center,,,,
1314,City General Hospital,,,,
1315,City General Hospital,,,,
1316,Primary Care Clinic,,,,
1317,Pediatric Care Center,,,,
1318,Community Health Clinic,,,,
1319,Cardiology Specialty Center,,,,
1320,Regional Medical Center,,,,
1321,Oncology Treatment Center,,,,
1322,Primary Care Clinic,,,,
1323,Surgical Specialty Center,,,,
1324,Regional Medical Center,,,,
1325,Community Health Clinic,,,,
1326,City General Hospital,,,,
1327,Community Health Clinic,,,,
1328,Surgical Specialty Center,,,,
1329,Oncology Treatment Center,,,,
1330,Northside Urgent Care,,,,
1331,Oncology Treatment Center,,,,
1332,City General Hospital,,,,
1333,Oncology Treatment Center,,,,
1334,Primary Care Clinic,,,,
1335,Community Health Clinic,,,,
1336,Pediatric Care Center,,,,
1337,Primary Care Clinic,,,,
1338,Surgical Specialty Center,,,,
1339,Regional Medical Center,,,,
1340,Northside Urgent Care,,,,
1341,Northside Urgent Care,,,,
1342,Emergency Medical Center,,,,
1343,Community Health Clinic,,,,
1344,Primary Care Clinic,,,,
1345,Northside Urgent Care,,,,
1346,Emergency Medical Center,,,,
1347,City General Hospital,,,,
1348,Northside Urgent Care,,,,
1349,City General Hospital,,,,
1350,Northside Urgent Care,,,,
1351,Community Health Clinic,,,,
1352,Regional Medical Center,,,,
1353,Surgical Specialty Center,,,,
1354,Cardiology Specialty Center,,,,
1355,Pediatric Care Center,,,,
1356,City General Hospital,,,,
1357,Pediatric Care Center,,,,
1358,Oncology Treatment Center,,,,
1359,Emergency Medical Center,,,,
1360,Oncology Treatment Center,,,,
1361,Pediatric Care Center,,,,
1362,Surgical Specialty Center,,,,
1363,Community Health Clinic,,,,
1364,Northside Urgent Care,,,,
1365,Northside Urgent Care,,,,
1366,Oncology Treatment Center,,,,
1367,Surgical Specialty Center,,,,
1368,Primary Care Clinic,,,,
1369,Oncology Treatment Center,,,,
1370,Emergency Medical Center,,,,
1371,Pediatric Care Center,,,,
1372,Surgical Specialty Center,,,,
1373,City General Hospital,,,,
1374,Regional Medical Center,,,,
1375,Oncology Treatment Center,,,,
1376,Emergency Medical Center,,,,
1377,Community Health Clinic,,,,
1378,Primary Care Clinic,,,,
1379,Primary Care Clinic,,,,
1380,Emergency Medical Center,,,,
1381,Northside Urgent Care,,,,
1382,Surgical Specialty Center,,,,
1383,Regional Medical Center,,,,
1384,Community Health Clinic,,,,
1385,Regional Medical Center,,,,
1386,Cardiology Specialty Center,,,,
1387,Pediatric Care Center,,,,
1388,Community Health Clinic,,,,
1389,Oncology Treatment Center,,,,
1390,Regional Medical Center,,,,
1391,Cardiology Specialty Center,,,,
1392,Primary Care Clinic,,,,
1393,Northside Urgent Care,,,,
1394,City General Hospital,,,,
1395,Community Health Clinic,,,,
1396,Primary Care Clinic,,,,
1397,Primary Care Clinic,,,,
1398,City General Hospital,,,,
1399,Oncology Treatment Center,,,,
1400,Surgical Specialty Center,,,,
1401,Emergency Medical Center,,,,
1402,Oncology Treatment Center,,,,
1403,Surgical Specialty Center,,,,
1404,City General Hospital,,,,
1405,Oncology Treatment Center,,,,
1406,Community Health Clinic,,,,
1407,Primary Care Clinic,,,,
1408,Surgical Specialty Center,,,,
1409,Emergency Medical Center,,,,
1410,Northside Urgent Care,,,,
1411,Pediatric Care Center,,,,
1412,Oncology Treatment Center,,,,
1413,City General Hospital,,,,
1414,Pediatric Care Center,,,,
1415,Community Health Clinic,,,,
1416,Oncology Treatment Center,,,,
1417,Primary Care Clinic,,,,
1418,Emergency Medical Center,,,,
1419,Cardiology Specialty Center,,,,
1420,Regional Medical Center,,,,
1421,Oncology Treatment Center,,,,
1422,Emergency Medical Center,,,,
1423,Emergency Medical Center,,,,
1424,Community Health Clinic,,,,
1425,Regional Medical Center,,,,
1426,City General Hospital,,,,
1427,Oncology Treatment Center,,,,
1428,Pediatric Care Center,,,,
1429,Emergency Medical Center,,,,
1430,Primary Care Clinic,,,,
1431,Oncology Treatment Center,,,,
1432,Community Health Clinic,,,,
1433,Oncology Treatment Center,,,,
1434,Community Health Clinic,,,,
1435,Community Health Clinic,,,,
1436,Pediatric Care Center,,,,
1437,Community Health Clinic,,,,
1438,Pediatric Care Center,,,,
1439,Regional Medical Center,,,,
1440,Pediatric Care Center,,,,
1441,Regional Medical Center,,,,
1442,Pediatric Care Center,,,,
1443,Cardiology Specialty Center,,,,
1444,Oncology Treatment Center,,,,
1445,Emergency Medical Center,,,,
1446,Surgical Specialty Center,,,,
1447,Pediatric Care Center,,,,
1448,Oncology Treatment Center,,,,
1449,Emergency Medical Center,,,,
1450,Oncology Treatment Center,,,,
1451,Emergency Medical Center,,,,
1452,Pediatric Care Center,,,,
1453,Emergency Medical Center,,,,
1454,Emergency Medical Center,,,,
1455,Primary Care Clinic,,,,
1456,Primary Care Clinic,,,,
1457,Northside Urgent Care,,,,
1458,Primary Care Clinic,,,,
1459,Emergency Medical Center,,,,
1460,Regional Medical Center,,,,
1461,Pediatric Care Center,,,,
1462,City General Hospital,,,,
1463,Regional Medical Center,,,,
1464,Oncology Treatment Center,,,,
1465,Regional Medical Center,,,,
1466,Northside Urgent Care,,,,
1467,Community Health Clinic,,,,
1468,Oncology Treatment Center,,,,
1469,Cardiology Specialty Center,,,,
1470,Surgical Specialty Center,,,,
1471,Regional Medical Center,,,,
1472,City General Hospital,,,,
1473,City General Hospital,,,,
1474,Emergency Medical Center,,,,
1475,Northside Urgent Care,,,,
1476,Regional Medical Center,,,,
1477,Pediatric Care Center,,,,
1478,Cardiology Specialty Center,,,,
1479,City General Hospital,,,,
1480,Pediatric Care Center,,,,
1481,Emergency Medical Center,,,,
1482,Community Health Clinic,,,,
1483,Northside Urgent Care,,,,
1484,Surgical Specialty Center,,,,
1485,Northside Urgent Care,,,,
1486,Regional Medical Center,,,,
1487,Community Health Clinic,,,,
1488,Oncology Treatment Center,,,,
1489,Emergency Medical Center,,,,
1490,Regional Medical Center,,,,
1491,Cardiology Specialty Center,,,,
1492,Primary Care Clinic,,,,
1493,City General Hospital,,,,
1494,Northside Urgent Care,,,,
1495,Cardiology Specialty Center,,,,
1496,Surgical Specialty Center,,,,
1497,Oncology Treatment Center,,,,
1498,Regional Medical Center,,,,
1499,Oncology Treatment Center,,,,
1500,Primary Care Clinic,,,,
1501,Northside Urgent Care,,,,
1502,City General Hospital,,,,
1503,Pediatric Care Center,,,,
1504,Cardiology Specialty Center,,,,
1505,Community Health Clinic,,,,
1506,Community Health Clinic,,,,
1507,City General Hospital,,,,
1508,Primary Care Clinic,,,,
1509,Oncology Treatment Center,,,,
1510,Northside Urgent Care,,,,
1511,Northside Urgent Care,,,,
1512,Community Health Clinic,,,,
1513,Pediatric Care Center,,,,
1514,Northside Urgent Care,,,,
1515,Primary Care Clinic,,,,
1516,Regional Medical Center,,,,
1517,Primary Care Clinic,,,,
1518,Oncology Treatment Center,,,,
1519,Community Health Clinic,,,,
1520,Surgical Specialty Center,,,,
1521,Northside Urgent Care,,,,
1522,Emergency Medical Center,,,,
1523,Surgical Specialty Center,,,,
1524,Surgical Specialty Center,,,,
1525,Surgical Specialty Center,,,,
1526,City General Hospital,,,,
1527,Surgical Specialty Center,,,,
1528,Regional Medical Center,,,,
1529,Surgical Specialty Center,,,,
1530,Oncology Treatment Center,,,,
1531,Oncology Treatment Center,,,,
1532,Surgical Specialty Center,,,,
1533,Primary Care Clinic,,,,
1534,Oncology Treatment Center,,,,
1535,Oncology Treatment Center,,,,
1536,Northside Urgent Care,,,,
1537,Oncology Treatment Center,,,,
1538,Pediatric Care Center,,,,
1539,Oncology Treatment Center,,,,
1540,Surgical Specialty Center,,,,
1541,Surgical Specialty Center,,,,
1542,Surgical Specialty Center,,,,
1543,Primary Care Clinic,,,,
1544,City General Hospital,,,,
1545,Pediatric Care Center,,,,
1546,Northside Urgent Care,,,,
1547,Community Health Clinic,,,,
1548,Community Health Clinic,,,,
1549,Emergency Medical Center,,,,
1550,Pediatric Care Center,,,,
1551,Surgical Specialty Center,,,,
1552,Northside Urgent Care,,,,
1553,Cardiology Specialty Center,,,,
1554,Community Health Clinic,,,,
1555,Surgical Specialty Center,,,,
1556,Pediatric Care Center,,,,
1557,Surgical Specialty Center,,,,
1558,Emergency Medical Center,,,,
1559,Cardiology Specialty Center,,,,
1560,Surgical Specialty Center,,,,
1561,Surgical Specialty Center,,,,
1562,Emergency Medical Center,,,,
1563,Community Health Clinic,,,,
1564,Surgical Specialty Center,,,,
1565,Primary Care Clinic,,,,
1566,Northside Urgent Care,,,,
1567,Regional Medical Center,,,,
1568,Cardiology Specialty Center,,,,
1569,Cardiology Specialty Center,,,,
1570,Surgical Specialty Center,,,,
1571,Cardiology Specialty Center,,,,
1572,Cardiology Specialty Center,,,,
1573,Surgical Specialty Center,,,,
1574,Pediatric Care Center,,,,
1575,Cardiology Specialty Center,,,,
1576,Primary Care Clinic,,,,
1577,Community Health Clinic,,,,
1578,City General Hospital,,,,
1579,Primary Care Clinic,,,,
1580,Regional Medical Center,,,,
1581,Community Health Clinic,,,,
1582,Northside Urgent Care,,,,
1583,Northside Urgent Care,,,,
1584,Surgical Specialty Center,,,,
1585,Cardiology Specialty Center,,,,
1586,Community Health Clinic,,,,
1587,Regional Medical Center,,,,
1588,Primary Care Clinic,,,,
1589,Northside Urgent Care,,,,
1590,Pediatric Care Center,,,,
1591,Pediatric Care Center,,,,
1592,Community Health Clinic,,,,
1593,Pediatric Care Center,,,,
1594,Regional Medical Center,,,,
1595,City General Hospital,,,,
1596,Emergency Medical Center,,,,
1597,City General Hospital,,,,
1598,Oncology Treatment Center,,,,
1599,Regional Medical Center,,,,
1600,Oncology Treatment Center,,,,
1601,City General Hospital,,,,
1602,Surgical Specialty Center,,,,
1603,Community Health Clinic,,,,
1604,Regional Medical Center,,,,
1605,Regional Medical Center,,,,
1606,Surgical Specialty Center,,,,
1607,Surgical Specialty Center,,,,
1608,Cardiology Specialty Center,,,,
1609,Primary Care Clinic,,,,
1610,Northside Urgent Care,,,,
1611,Northside Urgent Care,,,,
1612,Regional Medical Center,,,,
1613,Community Health Clinic,,,,
1614,Surgical Specialty Center,,,,
1615,Oncology Treatment Center,,,,
1616,City General Hospital,,,,
1617,Emergency Medical Center,,,,
1618,City General Hospital,,,,
1619,Regional Medical Center,,,,
1620,City General Hospital,,,,
1621,Community Health Clinic,,,,
1622,Oncology Treatment Center,,,,
1623,Surgical Specialty Center,,,,
1624,Northside Urgent Care,,,,
1625,Cardiology Specialty Center,,,,
1626,City General Hospital,,,,
1627,Primary Care Clinic,,,,
1628,Pediatric Care Center,,,,
1629,Pediatric Care Center,,,,
1630,Regional Medical Center,,,,
1631,Emergency Medical Center,,,,
1632,Oncology Treatment Center,,,,
1633,Surgical Specialty Center,,,,
1634,Cardiology Specialty Center,,,,
1635,City General Hospital,,,,
1636,Surgical Specialty Center,,,,
1637,Surgical Specialty Center,,,,
1638,Oncology Treatment Center,,,,
1639,Cardiology Specialty Center,,,,
1640,Cardiology Specialty Center,,,,
1641,Community Health Clinic,,,,
1642,Primary Care Clinic,,,,
1643,Pediatric Care Center,,,,
1644,Emergency Medical Center,,,,
1645,City General Hospital,,,,
1646,Oncology Treatment Center,,,,
1647,Community Health Clinic,,,,
1648,Surgical Specialty Center,,,,
1649,Pediatric Care Center,,,,
1650,Northside Urgent Care,,,,
1651,Oncology Treatment Center,,,,
1652,Pediatric Care Center,,,,
1653,Oncology Treatment Center,,,,
1654,Cardiology Specialty Center,,,,
1655,Regional Medical Center,,,,
1656,City General Hospital,,,,
1657,Surgical Specialty Center,,,,
1658,Pediatric Care Center,,,,
1659,Cardiology Specialty Center,,,,
1660,Regional Medical Center,,,,
1661,Oncology Treatment Center,,,,
1662,Northside Urgent Care,,,,
1663,Emergency Medical Center,,,,
1664,City General Hospital,,,,
1665,Emergency Medical Center,,,,
1666,Regional Medical Center,,,,
1667,Cardiology Specialty Center,,,,
1668,Oncology Treatment Center,,,,
1669,Surgical Specialty Center,,,,
1670,City General Hospital,,,,
1671,Oncology Treatment Center,,,,
1672,Emergency Medical Center,,,,
1673,Primary Care Clinic,,,,
1674,Cardiology Specialty Center,,,,
1675,Cardiology Specialty Center,,,,
1676,Primary Care Clinic,,,,
1677,Emergency Medical Center,,,,
1678,Northside Urgent Care,,,,
1679,City General Hospital,,,,
1680,Surgical Specialty Center,,,,
1681,Community Health Clinic,,,,
1682,Northside Urgent Care,,,,
1683,Regional Medical Center,,,,
1684,Cardiology Specialty Center,,,,
1685,Pediatric Care Center,,,,
1686,Pediatric Care Center,,,,
1687,Emergency Medical Center,,,,
1688,Surgical Specialty Center,,,,
1689,Surgical Specialty Center,,,,
1690,Emergency Medical Center,,,,
1691,Community Health Clinic,,,,
1692,Pediatric Care Center,,,,
1693,Community Health Clinic,,,,
1694,Emergency Medical Center,,,,
1695,Community Health Clinic,,,,
1696,Surgical Specialty Center,,,,
1697,City General Hospital,,,,
1698,Pediatric Care Center,,,,
1699,Northside Urgent Care,,,,
1700,Northside Urgent Care,,,,
1701,Regional Medical Center,,,,
1702,Northside Urgent Care,,,,
1703,Cardiology Specialty Center,,,,
1704,Northside Urgent Care,,,,
1705,Primary Care Clinic,,,,
1706,Pediatric Care Center,,,,
